sample.id	Original.ID	Location.Sample.date	Facility	Year	Season	Room	Object	Risk	sample	Density	Fill_bins	Fill	APC_log
sample-274	E13	NL.E13.4	Facility 3	2023	Spring	Filling	Floor Object	three	sample-274	High	High	Fill	5.976808337
sample-275	E14	NL.E14.4	Facility 3	2023	Spring	Filling	Conveyor	two	sample-275	Medium	Medium	Fill	3.973127854
sample-85	E2	B.E2.4	Facility 2	2023	Spring	Filling	Forklift/Pallet Jack	two	sample-85	Medium	Medium	Fill	4.857332496
sample-107	E2	B.E2.2	Facility 2	2022	Fall	Filling	Forklift/Pallet Jack	three	sample-107	Medium	Medium	Fill	3.875061263
sample-108	E2	B.E2.3	Facility 2	2023	Winter	Filling	Forklift/Pallet Jack	three	sample-108	Medium	Medium	Fill	3.365487985
sample-109	E2	NL.E2.2	Facility 3	2022	Fall	Office/Hallway	Non-FPE Structure	four	sample-109	Medium	Medium	Fill	4.544068044
sample-110	E2	NL.E2.3	Facility 3	2023	Winter	Office/Hallway	Non-FPE Structure	four	sample-110	Medium	Medium	Fill	3.64738297
sample-111	E2	WS.E2.2	Facility 1	2022	Fall	Warehouse	Drain	three	sample-111	High	High	Fill	7.745855195
sample-112	E2	WS.E2.3	Facility 1	2023	Winter	Warehouse	Drain	three	sample-112	High	High	Fill	8.462397998
sample-276	E2	NL.E2.4	Facility 3	2023	Spring	Office/Hallway	Non-FPE Structure	four	sample-276	Low	Low	Fill	2.556302501
sample-412	E2	WS.E2.4	Facility 1	2023	Spring	Warehouse	Drain	three	sample-412	High	High	Fill	9.079181246
sample-277	E20	NL.E20.4	Facility 3	2023	Spring	Filling	Conveyor	two	sample-277	Low	Low	Fill	2.880813592
sample-278	E21	NL.E21.4	Facility 3	2023	Spring	Filling	Conveyor	two	sample-278	Low	Low	Fill	0
sample-279	E23	NL.E23.4	Facility 3	2023	Spring	Filling	Conveyor	two	sample-279	Low	Low	Fill	2.716003344
sample-280	E27	NL.E27.4	Facility 3	2023	Spring	Filling	Conveyor	two	sample-280	Medium	Medium	Fill	3.829946696
sample-86	E3	B.E3.4	Facility 2	2023	Spring	Filling	Non-FPE Structure	three	sample-86	High	High	Fill	5.170261715
sample-113	E3	B.E3.2	Facility 2	2022	Fall	Filling	Non-FPE Structure	three	sample-113	Medium	Medium	Fill	3.290034611
sample-114	E3	B.E3.3	Facility 2	2023	Winter	Filling	Non-FPE Structure	three	sample-114	Low	Low	Fill	1.903089987
sample-115	E3	NL.E3.2	Facility 3	2022	Fall	Office/Hallway	Hose	four	sample-115	High	High	Fill	6.352182518
sample-116	E3	WS.E3.2	Facility 1	2022	Fall	Warehouse	Drain	three	sample-116	High	High	Fill	7.681241237
sample-413	E3	WS.E3.4	Facility 1	2023	Spring	Warehouse	Drain	three	sample-413	High	High	Fill	8.781755375
sample-87	E4	B.E4.4	Facility 2	2023	Spring	Warehouse	Conveyor	three	sample-87	Medium	Medium	Fill	3.741939078
sample-117	E4	B.E4.2	Facility 2	2022	Fall	Warehouse	Conveyor	three	sample-117	Medium	Medium	Fill	3.181843588
sample-118	E4	B.E4.3	Facility 2	2023	Winter	Warehouse	Conveyor	three	sample-118	Medium	Medium	Fill	3.447158031
sample-119	E4	NL.E4.2	Facility 3	2022	Fall	Filling	Non-FPE Structure	three	sample-119	Low	Low	Fill	0
sample-120	E4	NL.E4.3	Facility 3	2023	Winter	Filling	Non-FPE Structure	three	sample-120	Low	Low	Fill	2.204119983
sample-121	E4	WS.E4.2	Facility 1	2022	Fall	Warehouse	Conveyor	three	sample-121	Low	Low	Fill	2.973127854
sample-122	E4	WS.E4.3	Facility 1	2023	Winter	Warehouse	Conveyor	three	sample-122	High	High	Fill	5.465382851
sample-414	E4	WS.E4.4	Facility 1	2023	Spring	Warehouse	Conveyor	three	sample-414	High	High	Fill	5.889861721
sample-88	E5	B.E5.4	Facility 2	2023	Spring	Warehouse	Door	three	sample-88	Medium	Medium	Fill	3.928395852
sample-123	E5	B.E5.2	Facility 2	2022	Fall	Warehouse	Door	three	sample-123	Low	Low	Fill	2.759667845
sample-124	E5	B.E5.3	Facility 2	2023	Winter	Warehouse	Door	three	sample-124	Medium	Medium	Fill	3.614897216
sample-125	E5	NL.E5.2	Facility 3	2022	Fall	Filling	Non-FPE Structure	three	sample-125	Medium	Medium	Fill	4.954242509
sample-126	E5	WS.E5.2	Facility 1	2022	Fall	Warehouse	Conveyor	three	sample-126	High	High	Fill	5.812913357
sample-127	E5	WS.E5.3	Facility 1	2023	Winter	Warehouse	Conveyor	three	sample-127	High	High	Fill	5.064457989
sample-281	E5	NL.E5.4	Facility 3	2023	Spring	Filling	Non-FPE Structure	three	sample-281	Low	Low	Fill	2.380211242
sample-415	E5	WS.E5.4	Facility 1	2023	Spring	Warehouse	Conveyor	three	sample-415	Medium	Medium	Fill	4.903089987
sample-89	E6	B.E6.4	Facility 2	2023	Spring	Warehouse	Non-FPE Structure	three	sample-89	Medium	Medium	Fill	3.847572659
sample-128	E6	B.E6.2	Facility 2	2022	Fall	Warehouse	Non-FPE Structure	three	sample-128	Medium	Medium	Fill	3.602059991
sample-129	E6	B.E6.3	Facility 2	2023	Winter	Warehouse	Non-FPE Structure	three	sample-129	Low	Low	Fill	2.079181246
sample-130	E6	NL.E6.2	Facility 3	2022	Fall	Filling	NA	two	sample-130	NA	NA	Fill	NA
sample-131	E6	WS.E6.2	Facility 1	2022	Fall	Office/Hallway	Floor Object	four	sample-131	High	High	Fill	5.602059991
sample-132	E6	WS.E6.3	Facility 1	2023	Winter	Office/Hallway	Floor Object	four	sample-132	High	High	Fill	5.146128036
sample-416	E6	WS.E6.4	Facility 1	2023	Spring	Office/Hallway	Floor Object	four	sample-416	Medium	Medium	Fill	4.540329475
sample-90	E7	B.E7.4	Facility 2	2023	Spring	Warehouse	Non-FPE Structure	three	sample-90	Low	Low	Fill	2.204119983
sample-133	E7	B.E7.2	Facility 2	2022	Fall	Warehouse	Floor Object	three	sample-133	Low	Low	Fill	2.854306042
sample-134	E7	B.E7.3	Facility 2	2023	Winter	Warehouse	Non-FPE Structure	three	sample-134	Medium	Medium	Fill	3.255272505
sample-135	E7	NL.E7.2	Facility 3	2022	Fall	Filling	FPE Structure	two	sample-135	NA	NA	Fill	NA
sample-136	E7	WS.E7.2	Facility 1	2022	Fall	Raw	Floor Object	three	sample-136	Medium	Medium	Fill	4.041392685
sample-137	E7	WS.E7.3	Facility 1	2023	Winter	Raw	Floor Object	three	sample-137	High	High	Fill	7.551449998
sample-417	E7	WS.E7.4	Facility 1	2023	Spring	Raw	Floor Object	three	sample-417	High	High	Fill	7.283301229
sample-91	E8	B.E8.4	Facility 2	2023	Spring	Office/Hallway	Floor Object	four	sample-91	Medium	Medium	Fill	3.871572936
sample-138	E8	B.E8.2	Facility 2	2022	Fall	Office/Hallway	Floor Object	four	sample-138	Medium	Medium	Fill	3.653212514
sample-139	E8	B.E8.3	Facility 2	2023	Winter	Office/Hallway	Floor Object	four	sample-139	Medium	Medium	Fill	3.792391689
sample-140	E8	NL.E8.2	Facility 3	2022	Fall	Warehouse	Wall/Ceiling	three	sample-140	Medium	Medium	Fill	3.201397124
sample-141	E8	NL.E8.3	Facility 3	2023	Winter	Warehouse	Wall/Ceiling	three	sample-141	High	High	Fill	5.705863712
sample-142	E8	WS.E8.3	Facility 1	2023	Winter	Post-Pasteurization 	Door	three	sample-142	Low	Low	Fill	2.77815125
sample-282	E8	NL.E8.4	Facility 3	2023	Spring	Warehouse	Wall/Ceiling	three	sample-282	Medium	Medium	Fill	4.359835482
sample-92	E9	B.E9.4	Facility 2	2023	Spring	Post-Pasteurization 	FPE Structure	two	sample-92	Low	Low	Fill	2.301029996
sample-143	E9	B.E9.3	Facility 2	2023	Winter	Post-Pasteurization 	FPE Structure	two	sample-143	High	High	Fill	6.359835482
sample-144	E9	NL.E9.2	Facility 3	2022	Fall	Warehouse	Floor Object	three	sample-144	High	High	Fill	6.380211242
sample-145	E9	NL.E9.3	Facility 3	2023	Winter	Warehouse	Floor Object	three	sample-145	High	High	Fill	5.10720997
sample-283	E9	NL.E9.4	Facility 3	2023	Spring	Warehouse	Floor Object	three	sample-283	High	High	Fill	6.064457989
sample-418	E9	WS.E9.4	Facility 1	2023	Spring	Filling	Conveyor	two	sample-418	Low	Low	Fill	2.447158031
